2ca6df63-a90d-4dba-99e4-3337a1d62c6f;Salvador Prieto;Ester.Sandoval36@gmail.com;88;944-139-604;Fememnino;95300 Julia Monte
feb50f9c-0763-43de-967e-3c4140646af7;Andrea Roldán;David83@hotmail.com;23;902 518 811;Masculino;6924 Zúñiga Extramuros
cab1c412-d345-41db-b702-0ecad8523be0;Ana Abrego;Ricardo.Casanova@hotmail.com;100;911 721 718;Fememnino;03140 Benítez Rincón
d8d4d48d-c99e-4082-8bbd-120b693025be;Lorena Montañez;Cristina_Castillo23@gmail.com;10;955-206-996;Fememnino;005 Verónica Colonia
429521f6-6c88-4a03-9bc6-fd3f68c7138c;Roser Escamilla;Silvia55@gmail.com;31;937.643.789;Masculino;7640 Yolanda Colonia
d48ec77c-0b11-4c5f-9378-aaf001acd4c0;Iván Candelaria;Carla_Rodarte13@gmail.com;77;967-637-765;Masculino;82414 Téllez Masía
d51ad560-c8c2-4920-9779-3cbe411243cc;Maica Zamudio;Margarita_Delen18@gmail.com;11;945465219;Masculino;00934 Carlos Pasaje
aa8f924d-d696-48fc-b970-d9d64844ddc1;Manuel Uribe;Sergio.Ayala97@yahoo.com;60;981146057;Fememnino;07506 Valentín Monte
8f38ac8f-5aa6-4c50-ad23-337e91b67567;Pedro Cortés;Alejandro.Pichardo@gmail.com;77;996 376 495;Fememnino;107 Teresa Calle
6f3ff286-5363-4e90-aa26-99ec3e704b0e;Matilde Jáquez;Clemente.Miramontes@gmail.com;12;958-089-165;Fememnino;10683 Mayorga Travesía
090d19b5-fee1-45ce-af12-347b3a6812ca;Matilde Rosario;Ricardo83@hotmail.com;8;947058565;Fememnino;80506 Gonzalo Manzana
edf64202-e970-4c27-b165-8262c178c857;Lorena Alonzo;Octavio_Domnguez29@gmail.com;42;963326839;Masculino;636 Rolón Ferrocarril
8b463c00-9761-49dc-a6a8-0a3c2c18fa41;Ricardo Ceballos V;Soledad88@gmail.com;42;997409946;Fememnino;120 Esperanza Manzana
7e06b92c-6500-48f0-a116-47699464b26e;Rubén Zapata;Ral_Cervantes80@yahoo.com;87;951.100.352;Otro;44546 Posada Escalinata
33e00d40-f695-4f5f-abe7-ef6af27cf221;Laura Salcedo;Sancho54@gmail.com;11;967 386 281;Masculino;088 Juárez Quinta
887ae6f6-04a0-41b7-8229-de01551d8364;Josep Angulo;Ernesto_Mora@yahoo.com;72;952 895 875;Fememnino;579 Leticia Arroyo
2e498a76-6b83-423d-af06-4851ec91c04a;Jennifer Portillo V;Antonia.Montao@gmail.com;37;924.508.691;Otro;154 Gabriel Entrada
f098b519-197b-4216-bc8f-fbe6a59f64a1;Miguel Molina;Octavio.Negrete14@yahoo.com;97;984 203 447;Fememnino;940 Inés Solar
4ac96866-4114-4c29-a4cb-137fe94e973f;Josep Preciado;Benito.Guajardo87@yahoo.com;36;984437203;Otro;7215 Antonia Barrio
afb6fa51-387e-4c71-b6b1-3b6be230ff0e;Rubén Casillas;Rebeca_Valadez@hotmail.com;22;950499575;Otro;5251 Garica Jardines
7fed8c24-6bef-4556-90fb-2e0958484c15;Roser Peña;Patricio_Villagmez69@hotmail.com;22;910.651.542;Masculino;62444 Nieto Riera
672b4250-71b7-42eb-a75d-a1f966414b9f;Manuel Benavídez;Ral.Tafoya@yahoo.com;28;981-481-189;Otro;925 María Luisa Huerta
7927481e-3e9d-42b6-a71a-f1521edeec79;Jennifer Botello;Julia_Cant90@gmail.com;77;909 048 880;Fememnino;264 Sergio Terrenos
d7955f76-57a1-4139-9911-b638302ade95;Iván Vélez;Santiago_Saiz78@hotmail.com;5;973798787;Otro;62305 Cano Huerta
dc076872-bc68-42d3-9882-45bd97b89644;Ángel Guevara;Emilio.Cervntez@hotmail.com;7;957 382 745;Fememnino;208 Núñez Colonia
b2fd106d-0b00-4df8-a82a-5b01279f1138;Laura Candelaria;Manuel_Gmez84@gmail.com;94;964011972;Otro;70030 Sánchez Paseo
c717c644-7600-406a-8256-d582dd78933a;Pedro Guerra;Yolanda_Solano@gmail.com;12;943.496.598;Masculino;526 Pablo Quinta
9829b77d-24c3-46fb-9efb-8bbcb250fee8;Jennifer Robledo;Pedro_Bueno52@hotmail.com;2;977 680 185;Fememnino;31714 Echevarría Jardines
dba1311d-121d-403b-b6a8-a37367d10ccf;Rubén Cadena;Marisol36@hotmail.com;6;902-789-863;Fememnino;7570 Varela Arrabal
d1f7b649-810f-4028-bad5-e0632ed0b84d;Daniel Carbajal;Dolores_Rojo@yahoo.com;9;920-618-654;Fememnino;72007 Jorge Luis Ronda

